DATETIME ERRORLEVEL TAG VALUE LINE FILE
"2014-12-10 21:19:52" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn cleanup D:\wamp\www\bruttaspose"
"2014-12-10 21:19:54" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 138 "RETURN FROM CLEANUP. Ret code[0]"
"2014-12-10 21:19:54" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 139 []
"2014-12-10 21:19:54" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn update D:\wamp\www\bruttaspose"
"2014-12-10 21:19:55" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 147 "RETURN FROM UPDATE. Ret code[0]"
"2014-12-10 21:19:55" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 148 "[Updating 'D:\wamp\www\bruttaspose':
At revision 4.
]"
"2014-12-10 21:19:55" DEBUG -- "D:\wamp\www\sitemanager\DBCloner.php" 119 """D:\wamp\bin\mysql\mysql5.1.36\bin\mysql"" --host=localhost --user=root --password= db_bruttaspose < ""D:\wamp\www\bruttaspose\db_bruttaspose.sql"""
"2014-12-10 21:23:53" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn cleanup D:\wamp\www\bruttaspose"
"2014-12-10 21:23:55" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 138 "RETURN FROM CLEANUP. Ret code[0]"
"2014-12-10 21:23:55" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 139 []
"2014-12-10 21:23:55" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn update D:\wamp\www\bruttaspose --accept theirs-full"
"2014-12-10 21:23:56" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 147 "RETURN FROM UPDATE. Ret code[0]"
"2014-12-10 21:23:56" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 148 "[Updating 'D:\wamp\www\bruttaspose':
At revision 4.
]"
"2014-12-10 21:23:56" DEBUG -- "D:\wamp\www\sitemanager\DBCloner.php" 119 """D:\wamp\bin\mysql\mysql5.1.36\bin\mysql"" --host=localhost --user=root --password= db_bruttaspose < ""D:\wamp\www\bruttaspose\db_bruttaspose.sql"""
"2014-12-10 21:26:34" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn cleanup D:\wamp\www\bruttaspose"
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 138 "RETURN FROM CLEANUP. Ret code[0]"
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 139 []
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn revert -R .D:\wamp\www\bruttaspose"
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 147 "RETURN FROM REVERT. Ret code[1]"
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 148 "[svn: E020024: Error resolving case of '.D:\wamp\www\bruttaspose'
]"
"2014-12-10 21:26:36" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn update D:\wamp\www\bruttaspose --accept theirs-full"
"2014-12-10 21:26:37" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 156 "RETURN FROM UPDATE. Ret code[0]"
"2014-12-10 21:26:37" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 157 "[Updating 'D:\wamp\www\bruttaspose':
At revision 4.
]"
"2014-12-10 21:26:37" DEBUG -- "D:\wamp\www\sitemanager\DBCloner.php" 119 """D:\wamp\bin\mysql\mysql5.1.36\bin\mysql"" --host=localhost --user=root --password= db_bruttaspose < ""D:\wamp\www\bruttaspose\db_bruttaspose.sql"""
"2014-12-10 21:29:16" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn cleanup D:\wamp\www\bruttaspose"
"2014-12-10 21:29:18" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 139 "RETURN FROM CLEANUP. Ret code[0]"
"2014-12-10 21:29:18" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 140 []
"2014-12-10 21:29:18" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn revert -R D:\wamp\www\bruttaspose"
"2014-12-10 21:29:21" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 149 "RETURN FROM REVERT. Ret code[0]"
